course,professor,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Other
AGST333,Diana Cochran,8,11,23,22,24,15,5,2,3,0,0,0,3,13,2
AGST400,Bill Phillips,1,0,2,3,0,0,0,0,0,1,0,0,2,0,0
AGST401,Bill Phillips,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
AGST430,John Erwin,2,1,3,7,1,1,0,0,1,0,0,0,0,0,0
AGST440,Melissa Welsh,2,3,2,2,1,0,0,0,0,0,0,0,1,2,2
AGST442,Melissa Welsh,10,5,2,2,3,2,0,0,0,1,0,0,2,2,0
AGST605,Colby Silvert,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1
AGST640,Melissa Welsh,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
AMSC460,Akwum Onwunta,18,11,9,3,1,2,3,3,2,0,1,0,3,7,0
AMSC460,Changhui Tan,1,5,1,0,7,0,0,4,0,0,2,0,0,1,0
AMSC460,Charles Levermore,7,13,0,0,8,0,0,2,0,0,0,0,0,1,0
AMSC460,Christopher Moakler,9,22,11,6,7,8,1,2,1,0,0,0,2,0,1
AMSC460,Daisy Dahiya,14,14,10,10,3,2,5,4,6,0,0,1,3,1,0
AMSC460,Deep Ray,3,4,3,3,1,1,1,0,2,0,0,0,1,0,0
AMSC460,Doron Levy,14,63,2,1,27,2,0,12,1,0,0,0,4,2,0
AMSC460,Franziska Weber,3,1,2,5,2,1,1,1,0,0,0,1,1,2,0
AMSC460,Gil Ariel,8,4,5,6,4,3,6,4,4,0,2,0,8,3,0
AMSC460,Guillaume Bonnet,0,5,3,1,4,0,0,1,1,0,0,1,1,0,0
AMSC460,Harland Glaz,0,38,0,0,29,0,0,25,0,0,1,0,2,7,0
AMSC460,Heyrim Cho,5,6,6,2,8,4,0,3,1,0,0,0,1,7,0
AMSC460,Howard Elman,1,11,2,5,10,9,2,4,2,0,5,0,2,20,0
AMSC460,Jacob Bedrossian,1,7,1,0,5,1,1,1,1,0,1,0,4,5,0
AMSC460,Jonathan Rosenberg,3,11,0,0,4,2,1,3,2,0,0,0,1,3,21
AMSC460,Juan Pablo Borthagaray,7,11,10,13,16,6,9,8,5,0,0,0,5,5,0
AMSC460,Kayo Ide,42,18,2,5,9,1,0,1,1,0,4,0,0,1,8
AMSC460,Ke Chen,3,2,7,2,4,3,0,0,1,0,0,1,1,0,0
AMSC460,Ramani Duraiswami,15,38,19,14,28,21,8,22,10,0,1,1,6,10,0
AMSC460,Ruiwen Shu,27,24,0,12,11,0,8,10,0,0,0,0,0,2,4
AMSC460,Samuel Punshon-Smith,0,11,2,0,8,4,0,4,1,0,1,1,2,0,0
AMSC460,Stefan Doboszczak,39,60,43,18,15,21,7,12,12,1,6,1,10,6,12
AMSC460,Tobias von Petersdorff,43,118,39,8,83,22,5,45,10,2,5,3,20,18,2
AMSC460,Todd Rowland,7,3,0,8,4,2,1,0,0,0,0,0,0,0,0
AMSC460,Vladimir Yushutin,54,57,8,18,39,6,6,7,4,0,3,0,6,6,41
AMSC460,Wujun Zhang,0,1,3,4,5,2,1,5,1,0,0,0,4,2,0
AMSC466,Abba Gumel,1,0,1,0,2,2,2,2,1,0,0,0,0,2,0
AMSC466,Dionisios Margetis,8,64,28,0,33,13,0,8,4,0,4,0,3,17,10
AMSC466,Doron Levy,0,15,2,0,5,0,0,5,1,0,0,0,3,4,0
AMSC466,Eitan Tadmor,2,8,2,1,4,3,2,4,1,0,0,0,3,8,0
AMSC466,Harland Glaz,0,14,1,0,1,3,1,0,0,0,1,0,1,4,0
AMSC466,Lise-Marie Imbert-Gerard,2,1,0,2,1,1,2,0,1,0,0,0,4,6,1
AMSC466,Maria Cameron,8,16,4,3,13,8,1,9,2,1,6,0,7,8,6
AMSC466,Pierre-Emmanuel Jabin,9,14,11,13,11,8,1,9,1,1,1,0,2,4,0
AMSC466,Tobias von Petersdorff,3,30,3,0,23,1,0,13,1,0,2,0,6,3,1
AMSC612,Eitan Tadmor,3,6,2,4,0,0,0,0,0,0,0,0,0,2,0
AMSC612,Ricardo Nochetto,6,4,1,1,1,2,0,1,0,0,0,0,0,0,4
AMSC614,Ricardo Nochetto,5,4,2,1,1,0,0,0,0,0,0,0,0,1,1
AMSC660,Howard Elman,13,23,3,10,17,3,1,2,0,0,0,0,1,5,5
AMSC660,Jacob Bedrossian,3,8,1,1,6,4,0,2,0,0,1,0,3,0,0
AMSC660,Lise-Marie Imbert-Gerard,9,11,5,11,7,1,0,5,0,0,0,0,4,4,2
AMSC660,Maria Cameron,11,36,4,12,13,5,3,3,0,0,0,0,0,6,5
